"","Line #","Name","Description","Designator","Revision ID","Revision Status","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","RC0805FR-07383KL","RES 383k OHM 1% 0.125W, 1/8W Chip Resistor 0805","R3","CMP-009-00004-5","Up to date","1","Yageo","RC0805FR-07383KL","Volume Production","Digi-Key","311-383KCRCT-ND","0.1","0.1"
,"","RC0603FR-0733K2","RES 33.2K OHM 1% 1/10W 0603","R4","CMP-009-00005-4","Up to date","1","Yageo","RC0603FR-0733K2L","Volume Production","Newark","82AH8138","0.054","0.054"
,"","RC0603FR-075K9L","RES 5.9k OHM 1% 1/10W 0603","R6","CMP-009-00011-3","Up to date","1","Yageo","RC0603FR-075K9L","Volume Production","Digi-Key","311-5.90KHRCT-ND","0.1","0.1"
,"","RC0603FR-072K4L","RES 2.4k OHM 1% 1/10W 0603","R7","CMP-009-00010-3","Up to date","1","Yageo","RC0603FR-072K4L","Volume Production","Newark","82AH8084","0.011","0.11"
,"","RC0603JR-074K7L","RES 4.7K OHM 5% 1/10W 0603","R8, R9, R10, R12, R14, R15, R16, R18, R20, R21","CMP-009-00019-3","Up to date","10","Yageo","RC0603JR-074K7L","Volume Production","Newark","66R2752","0.002","10"
,"","RC0603FR-0741K2L","RES 41.2k OHM 1% 1/10W 0603","R11","CMP-009-00024-1","Up to date","1","Yageo","RC0603FR-0741K2L","Volume Production","Digi-Key","311-41.2KHRCT-ND","0.1","0.1"
,"","RC0603FR-0713K3L","RES 13.3k OHM 1% 1/10W 0603","R13","CMP-009-00025-1","Up to date","1","Yageo","RC0603FR-0713K3L","Volume Production","Newark","82AH8062","0.002","0.02"
,"","RC0603FR-071KL","RES 1k OHM 1% 1/10W 0603","R22, R23, R24, R25, R52, R53","CMP-009-00012-3","Up to date","6","Yageo","RC0603FR-071KL","Volume Production","Newark","75X0136","0.011","0.11"
,"",".RES_0603_DNP","DNP 0603 Resistor","R26, R34, R46","CMP-009-00018-3","Up to date","3","","","","","","",""
,"",".RES_1206_DNP","DNP 1206 Resistor","R29, R30, R40, R41","CMP-009-00021-1","Up to date","4","","","","","","",""
,"","RT0603BRD0750KL","RES 50k OHM 1% 1/10W 0603","R32, R43","CMP-009-00015-3","Up to date","2","Yageo","RT0603BRD0750KL","Volume Production","Mouser","603-RT0603BRD0750KL","0.34","0.68"
,"","RC0603FR-07280KL","RES 280k OHM 1% 1/10W 0603","R35, R44, R47","CMP-009-00007-4","Up to date","3","Yageo","RC0603FR-07280KL","Volume Production","Arrow Electronics","RC0603FR-07280KL","0.0532","0.1596"
,"","RC0603FR-07100KL","RES 100K OHM 1% 1/10W 0603","R36, R48","CMP-009-00014-3","Out of date","2","Yageo","RC0603FR-07100KL","Volume Production","Newark","75X0140","0.003","15"
,"","RC0603FR-0716K2L","RES 16.2k OHM 1% 1/10W 0603","R37, R49, R50","CMP-009-00009-3","Up to date","3","Yageo","RC0603FR-0716K2L","Volume Production","Newark","82AH8071","0.011","0.11"
,"","SWITCH_SPST_NO","SWITCH TACTILE SPST-NO 0.05A 12V","S1","CMP-011-00000-4","Up to date","1","E-Switch","TL3301NF160QG/TR","Volume Production","Digi-Key","141-TL3301NF160QG-KRCT-ND","0.25","0.25"
,"","LABEL-STANDARD","Silk screen marking spot for us to place a QR code. 2cmx2cm size.","SS1","CMP-00028-00001-1","Up to date","1","","","","","","",""
,"","MAX5033DASA+","DC-DC Switching Buck (Step Down) Regulator, Adjustable, 7.5V-76Vin, 1.25V-13.2Vout, 500mAout, SOIC-8","U1","CMP-00002-6","Up to date","1","Maxim","MAX5033DASA+","Volume Production","Newark","81Y9509","3.96","3.96"
,"","TPS563201DDCR","Buck Switching Regulator IC Positive Adjustable 0.768V 1 Output 3A SOT-23-6 Thin, TSOT-23-6","U2","CMP-001-0000-7","Up to date","1","Texas Instruments","TPS563201DDCR","Volume Production","Digi-Key","296-47238-1-ND","0.95","0.95"
,"","STM32L562ZET6Q","MCU 32-Bit STM32 ARM Cortex-M33F RISC 512KB Flash 1.71V to 3.6V 144-Pin LQFP Tray","U3","CMP-00000-18","Up to date","1","STMicroelectronics","STM32L562ZET6Q","Volume Production","Newark","81AH0041","3.81","3.81"
,"","ECS-80-12-33-JGN-TR","8 MHz ±20ppm Crystal 12pF 400 Ohms 4-SMD","Y1","CMP-004-000000-2","Up to date","1","ECS International","ECS-250-10-37B-CTN-TR","Volume Production","Arrow Electronics","ECS-250-10-37B-CTN-TR","0.1929","192.9"
,"","GRM21BR61H106KE43L","CAP CER 10uF 50V X5R 0805","C3, C39, C40, C43, C44, C49","CMP-001-00027-1","Up to date","6","Murata","GRM21BR61H106KE43L","Volume Production","Farnell","3790440","0.17244","1.03"
,"","APTF1616SURKCGKSYKC","LED GREEN/RED/YELLOW CLEAR 4SMD","D4, D5","CMP-004-00003-5","Up to date","2","Kingbright","APTF1616SURKCGKSYKC","Unknown","Mouser","604-APTF1616KCGKSYKC","1.02","2.04"
